question,point_biserial,p_value
 It's likely that your morning cup of joe wasn't even grown in America.,0.169,<0.0001
"""Basked"" in paragraph 2 is closest in meaning to ____________.",0.0812,0.0007
"""Bleeding money"" in paragraph 1 most likely means European news organizations are ____________ money.",0.2936,<0.0001
"""Buggy"" in paragraph 2 is closest in meaning to ____________.",0.1553,<0.0001
"""Climbed"" in paragraph 2 and paragraph 3 show that the stock price ____________.",0.3345,<0.0001
"""Content"" in paragraph 3 is closest in meaning to ____________.",nan,<0.0001
"""Crashed"" used here is closest in meaning to ____________.",0.3357,<0.0001
"""Delicate"" in paragraph 1 is closest in meaning to ____________.",0.0927,0.0001
"""Frustrated"" used here means that you are ____________.",0.1549,<0.0001
"""Gleaned"" as used in this passage is closest in meaning to ____________.",0.1456,<0.0001
"""Handy"" used here means that you are ____________.",0.1473,<0.0001
"""He just asked me about my surgery and asked me how I had been since Wimbledon,"" said Murray.",0.257,<0.0001
"""High-end"" in paragraph 3 is closest in meaning to ____________.",0.2154,<0.0001
"""It"" in paragraph 2 refers to ____________.",0.0763,0.0014
"""Left behind"" as used in this passage means that something was ____________.",0.1275,<0.0001
"""My goodness"" in this conversation was used to express __________.",-0.1268,<0.0001
"""Out of touch"" as used in this conversation most likely means __________.",0.1509,<0.0001
"""Painstakingly"" used here is closest in meaning to ____________.",nan,<0.0001
"""Palatable"" in paragraph 5 is closest in meaning to ____________.",nan,<0.0001
"""Pushing"" used here is closest in meaning to ____________.",nan,<0.0001
"""Repelled"" in paragraph 3 is used to show that migrants were ____________.",0.1724,<0.0001
"""Run"" used here is closest in meaning to ____________.",0.184,<0.0001
"""Running"" in paragraph 1 shows that Eric Schmidt ____________ Google.",0.1632,<0.0001
"""Sensationalism"" in paragraph 1 is described as ____________.",nan,<0.0001
"""Set the standard"" is used here to say that ____________.",0.1531,<0.0001
"""She works harder than most of them do,"" he says, comparing the pet favorably to some people.",0.176,<0.0001
"""Since then"" in paragraph 3 refers to what point in time?",0.2287,<0.0001
"""Strange bird"" is most likely used to describe someone who ____________.",nan,<0.0001
"""Stressed"" in paragraph 4 is closest in meaning to ____________.",0.223,<0.0001
"""Sweep"" in paragraphs 1 and 3 is closest in meaning to ____________.",0.1722,<0.0001
"""Thematic"" in paragraph 3 is closest in meaning to ____________.",0.1498,<0.0001
"""Trumping"" used here is closest in meaning to ____________.",nan,<0.0001
"""Uninitiated"" in paragraph 5 is used to describe ____________.",0.1075,<0.0001
"""Weighed"" in paragraph 2 is closest in meaning to ____________.",0.1003,<0.0001
"""Well up"" as used in paragraph 3 states that ____________.",0.0813,0.0006
"""Withstood"" in paragraph 3 is closest in meaning to be ____________ something.",0.1586,<0.0001
(no article) certain curricula that intend to meet the individual needs of children in special education programs are highly favorable.,0.1969,<0.0001
A little white lie is not always harmless. Telling the truth is important at all times.,0.1226,<0.0001
A press release is scheduled to happen sometime this week.,nan,<0.0001
"A sales ""rep"" is short for ____________.",0.0886,0.0002
A winner will then be chosen by a jury including Scott and Michael Fassbender.,0.3666,<0.0001
"According to Obama, dependence on foreign oil ____________.",0.3173,<0.0001
"According to health officials, what should residents drink during a heat wave?",-0.042,0.0782
"According to the article, what will most likely happen next?",0.1093,<0.0001
"According to the passage, the participants in the study ____________.",0.1437,<0.0001
"According to the study, the more texts 10-to-14-year-olds sent, the worse their grammar performance.",nan,<0.0001
"According to the study, why did the bilinguals outperform the monolinguals?",0.1958,<0.0001
"According to this article, Bolt was the first __________.",0.1541,<0.0001
"According to this passage, rumor has it that ____________.",0.1941,<0.0001
"According to this passage, what do Republicans plan to focus on?",0.1002,<0.0001
"According to this passage, what happened when Brazil boycotted Google?",0.259,<0.0001
"According to this passage, what is Samsung planning to do?",0.1947,<0.0001
"According to this passage, what is special about this car?",0.1302,<0.0001
"According to this passage, what is true about the competition?",0.1585,<0.0001
"According to this passage, who is Samsung's rival?",0.1596,<0.0001
Advanced Investments is essential for serious investors and asset managers who delegate management of their money to a professional.,0.2,<0.0001
"Advertisements that are likely to cause people to have ""body confidence issues"" will be banned from London's public transport network from next month, mayor Sadiq Khan announced on Monday.",nan,<0.0001
After the meeting we're going to sit down to discuss the results.,0.13,<0.0001
"Alberto Alonso wants a ""chance"" (paragraph 4) to ____________.",0.1358,<0.0001
All motion sickness results from your body sensing a discrepancy between what you see and what you feel.,0.1694,<0.0001
All students are responsible for finding their own mentor.,0.1883,<0.0001
"Although everyone has a say in this issue, the judge will be making the final decision.",0.1663,<0.0001
An example of this blurred line between fashion and its representation is the collection of over four hundred photographs by Pierre-Louis Pierson.,0.1783,<0.0001
An important part of networking is building relationships.,0.0454,0.0571
An important part of parenting is listening to your children.,0.1749,<0.0001
An international gas market is developing. Buyers will gain more than sellers.,0.1993,<0.0001
Angela is going to the doctor's office ____________.,-0.1021,<0.0001
Animals can be a great way to get the viewer to stop skipping through the commercials on their DVR or delay a trip to the fridge during a commercial break.,0.1469,<0.0001
"Apple is buying more flair, swagger, and song-picking savvy with its $3 billion acquisition of Beats Electronics, a headphone and music streaming specialist founded by two famous rappers.",nan,<0.0001
Apple is going to spend $850 million on a solar energy project. The project will generate power for Apple's new headquarters in California.,0.1583,<0.0001
"As Mr. Adams languished in prison, some of his tormentors were caught wandering off the straight and narrow.",0.2319,<0.0001
"As an incentive to self-improvement and active participation, a few athletes selected by their team qualified for the award.",nan,<0.0001
"As explorers traipsed around the globe and discovered new places, they often had no idea what to call them, so they asked the locals.",0.1742,<0.0001
"As temperatures slowly rise up and down the eastern seaboard, it becomes harder and harder to deny that global warming is, in fact, a real issue.",nan,<0.0001
"As the US Federal Reserve has scaled back, or ""tapered"", its large-scale asset purchases, emerging markets have looked distinctly unstable.",nan,<0.0001
As the boys moved around the neighborhood they found new and undiscovered playgrounds.,0.1362,<0.0001
"As traditional drugs lose their lure, novel ones are filling the gap in the market.",nan,<0.0001
At least 50 flooded homes in Queens caught fire and were destroyed. ,0.3714,<0.0001
"Beckloff noted that the children also have a close relationship with their 34-year-old cousin TJ Jackson, who was named temporary guardian last week.",0.0095,0.6912
Break It Off compared quitting smoking to ____________.,0.1655,<0.0001
"Brewing, distilling, and winemaking are nearly universal activities, and folks will ferment just about anything.",nan,<0.0001
"By 1949, Wright had become a permanent resident in Paris, having left the United States two years earlier.",0.3165,<0.0001
"By late Thursday, the government said the toll from the tremor, the most powerful recorded here since 1934, had risen to 6,130 dead and 13,827 injured.",0.1339,<0.0001
Clinton was excited as she accepted the first founders award.,-0.0483,0.043
"Connecting everyday objects to networks, allowing them to send and receive data, is widely seen as the next major evolution of the Internet and one that may transform how many businesses operate and people live.",nan,<0.0001
Connie Vincent seems ____________ about not working tomorrow.,0.0187,0.4341
