question,total_responses,total_correct,p_difficulty,p_difficulty_percent
 It's likely that your morning cup of joe wasn't even grown in America.,480,176,0.367,36.7%
"""Basked"" in paragraph 2 is closest in meaning to ____________.",436,98,0.225,22.5%
"""Bleeding money"" in paragraph 1 most likely means European news organizations are ____________ money.",548,270,0.493,49.3%
"""Buggy"" in paragraph 2 is closest in meaning to ____________.",404,118,0.292,29.2%
"""Climbed"" in paragraph 2 and paragraph 3 show that the stock price ____________.",548,334,0.609,60.9%
"""Content"" in paragraph 3 is closest in meaning to ____________.",548,0,0.0,0.0%
"""Crashed"" used here is closest in meaning to ____________.",548,426,0.777,77.7%
"""Delicate"" in paragraph 1 is closest in meaning to ____________.",890,328,0.369,36.9%
"""Frustrated"" used here means that you are ____________.",436,236,0.541,54.1%
"""Gleaned"" as used in this passage is closest in meaning to ____________.",436,148,0.339,33.9%
"""Handy"" used here means that you are ____________.",436,296,0.679,67.9%
"""He just asked me about my surgery and asked me how I had been since Wimbledon,"" said Murray.",548,272,0.496,49.6%
"""High-end"" in paragraph 3 is closest in meaning to ____________.",404,224,0.554,55.4%
"""It"" in paragraph 2 refers to ____________.",452,108,0.239,23.9%
"""Left behind"" as used in this passage means that something was ____________.",436,186,0.427,42.7%
"""My goodness"" in this conversation was used to express __________.",792,290,0.366,36.6%
"""Out of touch"" as used in this conversation most likely means __________.",380,138,0.363,36.3%
"""Painstakingly"" used here is closest in meaning to ____________.",436,0,0.0,0.0%
"""Palatable"" in paragraph 5 is closest in meaning to ____________.",480,0,0.0,0.0%
"""Pushing"" used here is closest in meaning to ____________.",452,0,0.0,0.0%
"""Repelled"" in paragraph 3 is used to show that migrants were ____________.",452,298,0.659,65.9%
"""Run"" used here is closest in meaning to ____________.",452,216,0.478,47.8%
"""Running"" in paragraph 1 shows that Eric Schmidt ____________ Google.",452,192,0.425,42.5%
"""Sensationalism"" in paragraph 1 is described as ____________.",404,0,0.0,0.0%
"""Set the standard"" is used here to say that ____________.",452,202,0.447,44.7%
"""She works harder than most of them do,"" he says, comparing the pet favorably to some people.",452,278,0.615,61.5%
"""Since then"" in paragraph 3 refers to what point in time?",480,232,0.483,48.3%
"""Strange bird"" is most likely used to describe someone who ____________.",480,0,0.0,0.0%
"""Stressed"" in paragraph 4 is closest in meaning to ____________.",404,200,0.495,49.5%
"""Sweep"" in paragraphs 1 and 3 is closest in meaning to ____________.",452,288,0.637,63.7%
"""Thematic"" in paragraph 3 is closest in meaning to ____________.",436,192,0.44,44.0%
"""Trumping"" used here is closest in meaning to ____________.",548,0,0.0,0.0%
"""Uninitiated"" in paragraph 5 is used to describe ____________.",436,158,0.362,36.2%
"""Weighed"" in paragraph 2 is closest in meaning to ____________.",452,162,0.358,35.8%
"""Well up"" as used in paragraph 3 states that ____________.",436,100,0.229,22.9%
"""Withstood"" in paragraph 3 is closest in meaning to be ____________ something.",480,142,0.296,29.6%
(no article) certain curricula that intend to meet the individual needs of children in special education programs are highly favorable.,480,206,0.429,42.9%
A little white lie is not always harmless. Telling the truth is important at all times.,436,210,0.482,48.2%
A press release is scheduled to happen sometime this week.,380,0,0.0,0.0%
"A sales ""rep"" is short for ____________.",452,214,0.473,47.3%
A winner will then be chosen by a jury including Scott and Michael Fassbender.,548,352,0.642,64.2%
"According to Obama, dependence on foreign oil ____________.",548,316,0.577,57.7%
"According to health officials, what should residents drink during a heat wave?",792,518,0.654,65.4%
"According to the article, what will most likely happen next?",452,106,0.235,23.5%
"According to the passage, the participants in the study ____________.",404,102,0.252,25.2%
"According to the study, the more texts 10-to-14-year-olds sent, the worse their grammar performance.",380,0,0.0,0.0%
"According to the study, why did the bilinguals outperform the monolinguals?",404,196,0.485,48.5%
"According to this article, Bolt was the first __________.",452,284,0.628,62.8%
"According to this passage, rumor has it that ____________.",480,266,0.554,55.4%
"According to this passage, what do Republicans plan to focus on?",436,226,0.518,51.8%
"According to this passage, what happened when Brazil boycotted Google?",548,218,0.398,39.8%
"According to this passage, what is Samsung planning to do?",404,246,0.609,60.9%
"According to this passage, what is special about this car?",452,126,0.279,27.9%
"According to this passage, what is true about the competition?",436,158,0.362,36.2%
"According to this passage, who is Samsung's rival?",404,266,0.658,65.8%
Advanced Investments is essential for serious investors and asset managers who delegate management of their money to a professional.,404,232,0.574,57.4%
"Advertisements that are likely to cause people to have ""body confidence issues"" will be banned from London's public transport network from next month, mayor Sadiq Khan announced on Monday.",436,0,0.0,0.0%
After the meeting we're going to sit down to discuss the results.,436,318,0.729,72.9%
"Alberto Alonso wants a ""chance"" (paragraph 4) to ____________.",436,164,0.376,37.6%
All motion sickness results from your body sensing a discrepancy between what you see and what you feel.,480,226,0.471,47.1%
All students are responsible for finding their own mentor.,480,240,0.5,50.0%
"Although everyone has a say in this issue, the judge will be making the final decision.",380,170,0.447,44.7%
An example of this blurred line between fashion and its representation is the collection of over four hundred photographs by Pierre-Louis Pierson.,452,246,0.544,54.4%
An important part of networking is building relationships.,890,426,0.479,47.9%
An important part of parenting is listening to your children.,436,178,0.408,40.8%
An international gas market is developing. Buyers will gain more than sellers.,404,302,0.748,74.8%
Angela is going to the doctor's office ____________.,792,530,0.669,66.9%
Animals can be a great way to get the viewer to stop skipping through the commercials on their DVR or delay a trip to the fridge during a commercial break.,452,192,0.425,42.5%
"Apple is buying more flair, swagger, and song-picking savvy with its $3 billion acquisition of Beats Electronics, a headphone and music streaming specialist founded by two famous rappers.",404,0,0.0,0.0%
Apple is going to spend $850 million on a solar energy project. The project will generate power for Apple's new headquarters in California.,380,234,0.616,61.6%
"As Mr. Adams languished in prison, some of his tormentors were caught wandering off the straight and narrow.",404,232,0.574,57.4%
"As an incentive to self-improvement and active participation, a few athletes selected by their team qualified for the award.",404,0,0.0,0.0%
"As explorers traipsed around the globe and discovered new places, they often had no idea what to call them, so they asked the locals.",404,246,0.609,60.9%
"As temperatures slowly rise up and down the eastern seaboard, it becomes harder and harder to deny that global warming is, in fact, a real issue.",436,0,0.0,0.0%
"As the US Federal Reserve has scaled back, or ""tapered"", its large-scale asset purchases, emerging markets have looked distinctly unstable.",452,0,0.0,0.0%
As the boys moved around the neighborhood they found new and undiscovered playgrounds.,436,244,0.56,56.0%
"As traditional drugs lose their lure, novel ones are filling the gap in the market.",404,0,0.0,0.0%
At least 50 flooded homes in Queens caught fire and were destroyed. ,548,328,0.599,59.9%
"Beckloff noted that the children also have a close relationship with their 34-year-old cousin TJ Jackson, who was named temporary guardian last week.",792,368,0.465,46.5%
Break It Off compared quitting smoking to ____________.,436,164,0.376,37.6%
"Brewing, distilling, and winemaking are nearly universal activities, and folks will ferment just about anything.",404,0,0.0,0.0%
"By 1949, Wright had become a permanent resident in Paris, having left the United States two years earlier.",548,322,0.588,58.8%
"By late Thursday, the government said the toll from the tremor, the most powerful recorded here since 1934, had risen to 6,130 dead and 13,827 injured.",436,160,0.367,36.7%
Clinton was excited as she accepted the first founders award.,890,528,0.593,59.3%
"Connecting everyday objects to networks, allowing them to send and receive data, is widely seen as the next major evolution of the Internet and one that may transform how many businesses operate and people live.",436,0,0.0,0.0%
Connie Vincent seems ____________ about not working tomorrow.,792,334,0.422,42.2%
"Connie Vincent, a mail carrier, was already sweating as she began her rounds in the new residential neighborhood.",548,246,0.449,44.9%
Could I come over on a Thursday afternoon sometime?,436,196,0.45,45.0%
"Craig Gerber, co-executive producer of ""Sofia the First,"" clarified in a Facebook post on Friday that Sofia is ""a mixed-heritage princess in a fairytale world.""",404,108,0.267,26.7%
Do you mind turning down the volume? It's really loud in here.,452,0,0.0,0.0%
Does Angela normally go to this doctor?,792,402,0.508,50.8%
Eating a hearty breakfast and (no article) lunch might benefit people who are suffering from Type 2 diabetes.,452,216,0.478,47.8%
"Eliza Cicero, a financial analyst, was preparing for her last meeting when she received a call about the flooded office space.",436,256,0.587,58.7%
"Europe’s leaders need to cut the power of Brussels in many areas, but in some they need to extend it.",548,380,0.693,69.3%
Everyone knows how much playing for my country has always meant to me.,404,324,0.802,80.2%
"Everyone signed the petition to open the zoo back up, yet it remained closed.",380,186,0.489,48.9%
"Facebook moved into its new Frank Gehry-designed headquarters in Silicon Valley, with a rooftop park and ""the largest open-plan office in the world.""",436,0,0.0,0.0%
Flag-waving Spanish workers livid over labor market reforms they see as flagrantly pro-business blocked traffic Thursday.,480,0,0.0,0.0%
Food rations were given to whoever signed the petition first.,548,196,0.358,35.8%
"Food safety is a scientific discipline describing handling, preparation, and storage of food in ways that prevent foodborne illness.",380,0,0.0,0.0%
"For some people, the bear deep in the woods is easy to see while others have much difficulty doing so.",480,288,0.6,60.0%
Foreign investors are helping Europe’s troubled businesses out of difficulty.,890,370,0.416,41.6%
Freedman says they're putting customers on track to eliminate a few hundred calories a day from their diets.,452,268,0.593,59.3%
"Given the labor intensity of organic farming, the yield is often smaller than a factory farm.",480,184,0.383,38.3%
"Had I known that the traffic was so bad, I would have chosen to take the Brooklyn Bridge instead.",436,0,0.0,0.0%
"Had I known the movie was so violent, I wouldn't have let my children watch it.",404,0,0.0,0.0%
"Having a ""closet packed with skeletons"" in paragraph 3 most likely means that ____________.",404,0,0.0,0.0%
Hawaii has been producing coffee since the mid-nineteenth century.,452,192,0.425,42.5%
He was planning a surprise picnic for his wife when he found out about the severe weather conditions.,404,236,0.584,58.4%
He will visit Linda in the hospital today.,452,290,0.642,64.2%
He's very popular so he has a lot of friends.,548,306,0.558,55.8%
Her actions responded to a shifting landscape of consumption and a philosophy of eating that was filtering down from foodies to everyone else.,548,0,0.0,0.0%
Hospitals in the city that deliver babies will no longer hand out promotional formula.,380,152,0.4,40.0%
How can you purchase tickets?,404,272,0.673,67.3%
How did Apple respond to this issue?,404,0,0.0,0.0%
How fast did Bolt run the 200 meters?,452,330,0.73,73.0%
How high can it go?,480,188,0.392,39.2%
How long does the show last?,404,248,0.614,61.4%
How long is the product?,480,222,0.462,46.2%
How many gold medals does Bolt have now?,452,268,0.593,59.3%
How many officers so far have admitted to discriminatory actions and abuse toward Latinos?,548,0,0.0,0.0%
How much are they spending on the hamburger?,890,290,0.326,32.6%
How much does Mark Mahaney want a Netflix share to cost?,548,388,0.708,70.8%
How much money is Google expected to make this year?,792,314,0.396,39.6%
"However, it's not just in education where people are starting to take note.",452,224,0.496,49.6%
I am afraid to go to bed in the dark.,436,296,0.679,67.9%
I am deeply excited and honored to join you.,548,338,0.617,61.7%
I can think of a few situations where animals should stay in the zoo.,436,220,0.505,50.5%
"I had looked everywhere for the little dog without any luck, which was making me increasingly frustrated.",436,188,0.431,43.1%
I look for new ways to cook fish every week.,436,290,0.665,66.5%
"I told her to do whatever she wanted, and I could not be happier with the results.",436,258,0.592,59.2%
I'm having some trouble with these boxes. Will you please help me move them?,404,0,0.0,0.0%
"If grilling all the vegetables is the best idea, go ahead and do it.",404,122,0.302,30.2%
"If it had rained even a little more, roads would have been closed for another day.",480,0,0.0,0.0%
"If nominated by one of their employees, the CEOs at the conference would have been eligible to receive the award.",548,0,0.0,0.0%
"If the Europeans could have foreseen the cataclysm that would befall the world on Aug. 4th of 1914, they would not have declared World War I.",452,0,0.0,0.0%
"If the butterflies are ""free-flying"" it means that they ____________.",404,266,0.658,65.8%
"If the children were sicker, they would need to go to an urgent care clinic.",436,116,0.266,26.6%
"If the children were smaller, they would not be able to go on the ride.",480,152,0.317,31.7%
"If the passage were to continue, what would most likely be discussed next?",404,190,0.47,47.0%
"If there had been even one more person, we would not have fit in the car.",380,132,0.347,34.7%
"If weather conditions were worse, the roads would be closed.",404,176,0.436,43.6%
"If you eat now, you will be hungry later.",548,320,0.584,58.4%
"If you have fewer than 10 items in your basket, you can be in the express line.",380,0,0.0,0.0%
"If you want a friend in Washington, get a dog.",792,458,0.578,57.8%
Imagine the many people who are traveling around hundreds of miles of streets; how are they going to find the right way? ,452,270,0.597,59.7%
"In paragraph 2, Steve Jobs expresses that he thinks ____________.",404,144,0.356,35.6%
"In paragraph 3, ""had a field day"" most likely means that Pulitzer ____________,",404,0,0.0,0.0%
"In response to Apple's criticisms, Adobe ____________.",404,224,0.554,55.4%
Is she buying a new car today?,548,354,0.646,64.6%
Is this Stephen's first time visiting?,380,222,0.584,58.4%
It can be inferred from paragraph 1 that Havaianas are ____________.,380,232,0.611,61.1%
