question,user_answer,total_selected,total_correct,total_responses,pct_selected,pct_correct,correct_answer
 It's likely that your morning cup of joe wasn't even grown in America.,enough,36,0,240,0.15,0,even
 It's likely that your morning cup of joe wasn't even grown in America.,even,88,88,240,0.367,1,
 It's likely that your morning cup of joe wasn't even grown in America.,I don't know,33,0,240,0.138,0,
 It's likely that your morning cup of joe wasn't even grown in America.,still,69,0,240,0.288,0,
 It's likely that your morning cup of joe wasn't even grown in America.,yet,14,0,240,0.058,0,
"""Basked"" in paragraph 2 is closest in meaning to ____________.",enjoyed,49,49,218,0.225,1,enjoyed
"""Basked"" in paragraph 2 is closest in meaning to ____________.",lazed,39,0,218,0.179,0,
"""Basked"" in paragraph 2 is closest in meaning to ____________.",I don't know,37,0,218,0.17,0,
"""Basked"" in paragraph 2 is closest in meaning to ____________.",relaxed,47,0,218,0.216,0,
"""Basked"" in paragraph 2 is closest in meaning to ____________.",thrived,46,0,218,0.211,0,
"""Bleeding money"" in paragraph 1 most likely means European news organizations are ____________ money.",gaining,16,0,274,0.058,0,losing
"""Bleeding money"" in paragraph 1 most likely means European news organizations are ____________ money.",losing,135,135,274,0.493,1,
"""Bleeding money"" in paragraph 1 most likely means European news organizations are ____________ money.",I don't know,28,0,274,0.102,0,
"""Bleeding money"" in paragraph 1 most likely means European news organizations are ____________ money.",stealing,13,0,274,0.047,0,
"""Bleeding money"" in paragraph 1 most likely means European news organizations are ____________ money.",supplying,82,0,274,0.299,0,
"""Buggy"" in paragraph 2 is closest in meaning to ____________.",dirty,18,0,202,0.089,0,faulty
"""Buggy"" in paragraph 2 is closest in meaning to ____________.",faulty,59,59,202,0.292,1,
"""Buggy"" in paragraph 2 is closest in meaning to ____________.",infested,39,0,202,0.193,0,
"""Buggy"" in paragraph 2 is closest in meaning to ____________.",irritated,45,0,202,0.223,0,
"""Buggy"" in paragraph 2 is closest in meaning to ____________.",I don't know,41,0,202,0.203,0,
"""Climbed"" in paragraph 2 and paragraph 3 show that the stock price ____________.",I don't know,28,0,274,0.102,0,went up
"""Climbed"" in paragraph 2 and paragraph 3 show that the stock price ____________.",reached the highest point,54,0,274,0.197,0,
"""Climbed"" in paragraph 2 and paragraph 3 show that the stock price ____________.",stayed the same,13,0,274,0.047,0,
"""Climbed"" in paragraph 2 and paragraph 3 show that the stock price ____________.",went down,12,0,274,0.044,0,
"""Climbed"" in paragraph 2 and paragraph 3 show that the stock price ____________.",went up,167,167,274,0.609,1,
"""Content"" in paragraph 3 is closest in meaning to ____________.",I don't know,274,0,274,1,0,news articles
"""Crashed"" used here is closest in meaning to ____________.",broke,13,0,274,0.047,0,malfunctioned
"""Crashed"" used here is closest in meaning to ____________.",collided,12,0,274,0.044,0,
"""Crashed"" used here is closest in meaning to ____________.",invaded,13,0,274,0.047,0,
"""Crashed"" used here is closest in meaning to ____________.",malfunctioned,213,213,274,0.777,1,
"""Crashed"" used here is closest in meaning to ____________.",I don't know,23,0,274,0.084,0,
"""Delicate"" in paragraph 1 is closest in meaning to ____________.",fragile,164,164,445,0.369,1,fragile
"""Delicate"" in paragraph 1 is closest in meaning to ____________.",gentle,45,0,445,0.101,0,
"""Delicate"" in paragraph 1 is closest in meaning to ____________.",I don't know,139,0,445,0.312,0,
"""Delicate"" in paragraph 1 is closest in meaning to ____________.",soft,36,0,445,0.081,0,
"""Delicate"" in paragraph 1 is closest in meaning to ____________.",strong,61,0,445,0.137,0,
"""Frustrated"" used here means that you are ____________.",annoyed,118,118,218,0.541,1,annoyed
"""Frustrated"" used here means that you are ____________.",embarrassed,46,0,218,0.211,0,
"""Frustrated"" used here means that you are ____________.",happy,6,0,218,0.028,0,
"""Frustrated"" used here means that you are ____________.",I don't know,24,0,218,0.11,0,
"""Frustrated"" used here means that you are ____________.",sad,24,0,218,0.11,0,
"""Gleaned"" as used in this passage is closest in meaning to ____________.",collected,19,0,218,0.087,0,derived
"""Gleaned"" as used in this passage is closest in meaning to ____________.",concluded,22,0,218,0.101,0,
